"country","variable","region"
"Russia",72.3,"Central Asia"
"Togo",72.1,"Africa"
"South Africa",71.9,"Africa"
"Tajikistan",71.9,"Central Asia"
"Mongolia",71.9,"East and Southeast Asia"
"Cambodia",71.4,"East and Southeast Asia"
"Philippines",70.8,"East and Southeast Asia"
"Tanzania",70.8,"Africa"
"Senegal",70.6,"Africa"
"Ukraine",70.5,"Europe"
"Timor-Leste",70.5,"East and Southeast Asia"
"Gabon",70.4,"Africa"
"Kenya",70.4,"Africa"
"Burma",70.3,"East and Southeast Asia"
"Pakistan",70.3,"South Asia"
"Moldova",70.1,"Europe"
"Ghana",70.1,"Africa"
"Papua New Guinea",70.1,"East and Southeast Asia"
"Uganda",69.7,"Africa"
"Laos",69,"East and Southeast Asia"
"Tuvalu",69,"Australia and Oceania"
"Peru",68.9,"South America"
"Madagascar",68.8,"Africa"
"Nauru",68.6,"Australia and Oceania"
"Kiribati",68.5,"Australia and Oceania"
"Gambia, The",68.4,"Africa"
"India",68.2,"South Asia"
"Yemen",68.2,"Middle East"
"Burundi",68.1,"Africa"
"Comoros",67.8,"Africa"
"Sudan",67.8,"Africa"
"Sao Tome and Principe",67.7,"Africa"
"Ethiopia",67.7,"Africa"
"Eritrea",67.5,"Africa"
"Zimbabwe",67.2,"Africa"
"Zambia",66.9,"Africa"
"Rwanda",66.6,"Africa"
"Botswana",66.4,"Africa"
"Djibouti",65.9,"Africa"
"Namibia",65.9,"Africa"
"Mauritania",65.9,"Africa"
"Haiti",65.6,"Central America and the Caribbean"
"Guinea",64.6,"Africa"
"Guinea-Bissau",64.5,"Africa"
"Burkina Faso",64.2,"Africa"
"Cameroon",64.2,"Africa"
"Equatorial Guinea",63.9,"Africa"
"Mali",63.2,"Africa"
"Cote d'Ivoire",63.2,"Africa"
"Benin",63,"Africa"
"Angola",62.9,"Africa"
"Congo, Democratic Republic of the",62.6,"Africa"
"Nigeria",62.2,"Africa"
"Liberia",61.6,"Africa"
"Niger",60.9,"Africa"
"Eswatini",60.7,"Africa"
"South Sudan",60.3,"Africa"
"Lesotho",60.2,"Africa"
"Chad",60,"Africa"
"Sierra Leone",59.4,"Africa"
"Mozambique",58.3,"Africa"
"Somalia",56.5,"Africa"
"Central African Republic",56.4,"Africa"
"Afghanistan",54.4,"South Asia"
