"country","variable","region"
"Thailand",6.2,"East and Southeast Asia"
"Qatar",6.2,"Middle East"
"San Marino",6.1,"Europe"
"China",6,"East and Southeast Asia"
"Gibraltar",5.9,"Europe"
"Puerto Rico",5.7,"Central America and the Caribbean"
"Faroe Islands",5.6,"Europe"
"Romania",5.3,"Europe"
"Cuba",5.2,"Central America and the Caribbean"
"United States",5,"North America"
"Slovakia",5,"Europe"
"United Arab Emirates",4.9,"Middle East"
"New Caledonia",4.8,"Australia and Oceania"
"Poland",4.6,"Europe"
"Malta",4.6,"Europe"
"Hungary",4.6,"Europe"
"Chile",4.5,"South America"
"Serbia",4.4,"Europe"
"Macau",4.3,"East and Southeast Asia"
"French Polynesia",4.2,"Australia and Oceania"
"Isle of Man",4,"Europe"
"Wallis and Futuna",3.8,"Australia and Oceania"
"Canada",3.8,"North America"
"Bosnia and Herzegovina",3.8,"Europe"
"Taiwan",3.8,"East and Southeast Asia"
"Liechtenstein",3.8,"Europe"
"Jersey",3.7,"Europe"
"United Kingdom",3.7,"Europe"
"Netherlands",3.6,"Europe"
"Croatia",3.4,"Europe"
"Greece",3.4,"Europe"
"New Zealand",3.3,"Australia and Oceania"
"Andorra",3.3,"Europe"
"Guernsey",3.2,"Europe"
"Austria",3.2,"Europe"
"Ireland",3.2,"Europe"
"France",3.1,"Europe"
"Montenegro",3.1,"Europe"
"Luxembourg",3.1,"Europe"
"Denmark",3.1,"Europe"
"Australia",3,"Australia and Oceania"
"Switzerland",3,"Europe"
"Belgium",3,"Europe"
"Germany",3,"Europe"
"Italy",3,"Europe"
"Anguilla",2.9,"Central America and the Caribbean"
"Israel",2.6,"Middle East"
"Lithuania",2.5,"Europe"
"Czechia",2.5,"Europe"
"Hong Kong",2.4,"East and Southeast Asia"
"Portugal",2.4,"Europe"
"Spain",2.4,"Europe"
"Latvia",2.4,"Europe"
"Sweden",2.2,"Europe"
"Korea, South",2.2,"East and Southeast Asia"
"Belarus",2.1,"Europe"
"Bermuda",2.1,"North America"
"Estonia",2,"Europe"
"Finland",1.9,"Europe"
"Norway",1.8,"Europe"
"Japan",1.8,"East and Southeast Asia"
"Slovenia",1.8,"Europe"
"Monaco",1.7,"Europe"
"Iceland",1.6,"Europe"
"Singapore",1.5,"East and Southeast Asia"
